C1,C2,years,war,invpath
38,63,5,0,.1666667
37,389,5,0,.2333333
55,250,5,0,0
38,379,5,0,.1285714
304,400,5,0,0
38,55,5,0,.1174603
38,56,5,0,.0714286
37,343,5,0,.0769231
40,385,5,0,.1116883
37,63,5,0,.125
38,177,5,0,.1666667
40,216,5,0,.0526316
38,220,5,0,0
28,38,5,0,.1138889
38,83,5,0,.1285714
55,296,5,0,.1
38,66,5,0,.1022222
19,38,5,0,.1111111
37,240,5,0,.1666667
82,339,4,0,0
82,170,4,0,0
40,304,4,.25,0
55,304,4,.25,0
38,375,4,0,.0515873
82,291,4,0,0
82,293,4,0,0
37,304,4,.25,0
37,375,4,0,.0697115
38,304,4,.25,0
82,344,4,0,0
40,375,4,0,.0651261
75,82,4,.5,0
55,375,4,0,.075
82,178,4,0,0
82,157,4,0,0
70,82,4,.5,0
82,87,4,0,0
20,178,3,.666667,0
105,343,2,0,.0669643
34,344,2,0,.0444664
105,340,2,0,.1428571
333,344,2,0,.5
29,344,2,0,.0488095
105,346,2,0,.077381
333,339,2,0,.5
19,344,2,0,.0690476
105,177,2,0,.0769231
28,339,2,0,.0645833
27,105,2,0,.05
105,172,2,0,.3333333
20,105,2,0,.1547619
29,105,2,0,.2
63,339,2,0,.0909091
19,105,2,0,.1125
106,339,2,0,.0513158
105,106,2,0,1
56,105,2,0,0
28,344,2,0,.0645833
28,105,2,0,.1428571
106,344,2,0,.0513158
34,339,2,0,.0444664
105,347,2,0,.0916667
105,304,2,0,.1
66,105,2,0,1
105,375,2,0,.077381
105,99999,2,0,.0909091
34,105,2,0,.0416667
63,344,2,0,.0909091
339,340,2,0,.1428571
105,240,2,0,.1428571
105,216,2,0,.1428571
63,105,2,0,.2083333
105,296,2,0,.0769231
340,344,2,0,.1428571
19,339,2,0,.0690476
105,389,2,0,.1079545
105,385,2,0,.1079545
105,379,2,0,.1428571
105,333,2,0,.1
83,105,2,0,.3333333
29,339,2,0,.0488095
105,220,2,0,0
105,390,2,0,.0416667
29,250,1,0,0
27,82,1,0,.0714286
344,347,1,0,
29,82,1,0,0
339,347,1,0,
29,400,1,0,0
27,400,1,0,0
